PID,Question 1 (5.0 pts),Question 2 (6.0 pts),Question 3 (8.0 pts),Question 4 (6.0 pts),Question 5 (10.0 pts),Question 6 (6.0 pts),Question 7 (10.0 pts),Question 8 (6.0 pts),Question 9 (9.0 pts),Question 10 (10.0 pts),Question 11 (4.0 pts),Question 12 (7.0 pts)
A99185804,5.0,5.0,7.0,5.0,3.0,3.0,5.0,6.0,9.0,8.0,4.0,2.0
A99950565,5.0,6.0,8.0,6.0,9.0,6.0,10.0,6.0,9.0,8.0,4.0,7.0
A99612659,5.0,6.0,8.0,6.0,9.0,6.0,9.0,6.0,7.0,10.0,4.0,7.0
A99214385,3.0,6.0,5.0,5.0,6.0,6.0,10.0,6.0,9.0,8.0,3.0,4.0
A99925394,5.0,6.0,7.0,4.0,6.0,6.0,5.0,2.0,9.0,7.0,4.0,5.0
A99596327,2.0,3.0,5.0,2.0,10.0,4.0,5.0,4.0,9.0,10.0,2.0,7.0
A99920012,5.0,5.0,8.0,6.0,5.0,6.0,10.0,6.0,9.0,7.0,4.0,7.0
A99406577,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,8.0,10.0,4.0,7.0
A99557354,5.0,3.0,4.0,5.0,9.0,4.0,10.0,6.0,3.0,7.0,4.0,3.0
A99222775,3.0,1.0,3.0,2.0,9.0,6.0,4.0,6.0,7.0,10.0,2.0,7.0
A99164432,5.0,6.0,8.0,6.0,10.0,6.0,8.0,6.0,9.0,9.0,4.0,7.0
A99150572,5.0,6.0,3.0,6.0,7.0,6.0,7.0,6.0,9.0,10.0,4.0,7.0
A99005866,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,8.0,10.0,4.0,7.0
A99016583,5.0,6.0,6.0,5.0,10.0,6.0,8.0,6.0,9.0,8.0,4.0,6.0
A99324445,3.0,6.0,4.0,6.0,10.0,5.0,7.0,6.0,8.0,7.0,4.0,7.0
A99620552,2.0,4.0,3.0,6.0,10.0,3.0,5.0,6.0,8.0,8.0,4.0,7.0
A99773945,5.0,6.0,8.0,6.0,9.0,6.0,8.0,6.0,5.0,10.0,4.0,4.0
A99501183,5.0,5.0,3.0,5.0,8.0,6.0,5.0,5.0,8.0,4.0,4.0,5.0
A99966530,5.0,4.0,8.0,3.0,10.0,6.0,10.0,6.0,4.0,10.0,4.0,7.0
A99863612,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,8.0,4.0,7.0
A99518994,,,,,,,,,,,,
A99367170,5.0,4.0,7.0,6.0,8.0,6.0,7.0,4.0,7.0,4.0,3.0,7.0
A99288102,5.0,6.0,5.0,6.0,10.0,6.0,7.0,6.0,3.0,10.0,4.0,5.0
A99425689,5.0,6.0,8.0,6.0,8.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99775269,5.0,6.0,8.0,4.0,9.0,6.0,8.0,5.0,8.0,4.0,2.0,7.0
A99433693,5.0,6.0,8.0,6.0,6.0,6.0,10.0,4.0,8.0,10.0,4.0,7.0
A99668602,5.0,2.0,0.0,5.0,9.0,5.0,4.0,6.0,7.0,3.0,4.0,7.0
A99929662,3.0,4.0,8.0,6.0,10.0,3.0,2.0,6.0,9.0,9.0,4.0,3.0
A99200920,5.0,6.0,7.0,6.0,10.0,6.0,10.0,6.0,8.0,10.0,4.0,7.0
A99556503,5.0,6.0,5.0,4.0,10.0,6.0,7.0,4.0,9.0,6.0,3.0,4.0
A99177000,5.0,6.0,7.0,6.0,5.0,6.0,10.0,6.0,8.0,10.0,4.0,7.0
A99592629,3.0,6.0,7.0,5.0,10.0,6.0,6.0,5.0,6.0,9.0,3.0,4.0
A99257552,4.0,1.0,8.0,5.0,10.0,6.0,10.0,2.0,8.0,2.0,3.0,5.0
A99765989,5.0,5.0,8.0,6.0,10.0,6.0,10.0,5.0,9.0,5.0,4.0,7.0
A99340665,3.0,4.0,8.0,1.0,9.0,6.0,8.0,6.0,9.0,1.0,3.0,7.0
A99108785,2.0,3.0,8.0,6.0,10.0,5.0,5.0,4.0,9.0,4.0,4.0,4.0
A99835113,5.0,6.0,6.0,6.0,10.0,5.0,10.0,5.0,4.0,10.0,4.0,7.0
A99313805,5.0,6.0,8.0,6.0,8.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99898124,5.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,9.0,10.0,4.0,7.0
A99592218,5.0,6.0,5.0,6.0,9.0,6.0,6.0,3.0,9.0,10.0,4.0,7.0
A99427381,5.0,6.0,8.0,6.0,9.0,6.0,10.0,6.0,5.0,4.0,4.0,6.0
A99467073,5.0,6.0,4.0,4.0,10.0,6.0,7.0,4.0,9.0,6.0,3.0,4.0
A99516490,5.0,6.0,8.0,5.0,3.0,4.0,6.0,6.0,9.0,9.0,4.0,3.0
A99954694,4.0,2.0,5.0,6.0,4.0,3.0,2.0,4.0,4.0,9.0,4.0,3.0
A99833850,5.0,6.0,8.0,6.0,5.0,2.0,7.0,6.0,9.0,3.0,3.0,4.0
A99320977,5.0,3.0,5.0,3.0,7.0,3.0,9.0,6.0,7.0,9.0,3.0,7.0
A99174829,5.0,6.0,7.0,5.0,4.0,6.0,8.0,6.0,9.0,10.0,4.0,5.0
A99151050,5.0,5.0,8.0,6.0,7.0,6.0,5.0,6.0,7.0,10.0,4.0,6.0
A99583638,5.0,5.0,5.0,6.0,7.0,5.0,4.0,6.0,9.0,10.0,4.0,7.0
A99808855,5.0,6.0,7.0,6.0,7.0,6.0,10.0,6.0,6.0,10.0,4.0,7.0
A99740147,3.0,5.0,3.0,5.0,7.0,2.0,9.0,2.0,1.0,9.0,2.0,5.0
A99470227,5.0,6.0,4.0,6.0,4.0,6.0,10.0,3.0,1.0,3.0,4.0,5.0
A99964440,5.0,4.0,5.0,6.0,4.0,6.0,10.0,5.0,9.0,8.0,4.0,7.0
A99706914,4.0,4.0,7.0,4.0,10.0,6.0,8.0,6.0,8.0,5.0,4.0,7.0
A99667178,5.0,6.0,8.0,5.0,9.0,6.0,10.0,6.0,5.0,10.0,4.0,6.0
A99187571,4.0,6.0,8.0,6.0,8.0,6.0,4.0,5.0,7.0,8.0,4.0,7.0
A99178586,4.0,6.0,8.0,6.0,7.0,2.0,10.0,5.0,3.0,10.0,4.0,7.0
A99784236,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99396393,5.0,6.0,7.0,6.0,9.0,6.0,10.0,6.0,5.0,4.0,4.0,6.0
A99154676,5.0,6.0,8.0,6.0,10.0,6.0,8.0,6.0,9.0,8.0,4.0,7.0
A99437421,5.0,6.0,8.0,6.0,9.0,6.0,10.0,6.0,5.0,7.0,4.0,7.0
A99065784,5.0,5.0,8.0,5.0,10.0,6.0,7.0,6.0,6.0,9.0,4.0,7.0
A99461345,5.0,6.0,8.0,6.0,10.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0
A99906367,5.0,6.0,8.0,6.0,9.0,6.0,8.0,6.0,8.0,8.0,4.0,7.0
A99149241,3.0,2.0,8.0,5.0,10.0,1.0,10.0,6.0,7.0,3.0,4.0,5.0
A99932428,3.0,5.0,4.0,6.0,5.0,6.0,4.0,1.0,4.0,6.0,1.0,7.0
A99544353,4.0,5.0,7.0,4.0,10.0,6.0,6.0,5.0,9.0,10.0,3.0,7.0
A99445917,5.0,4.0,6.0,6.0,4.0,4.0,10.0,5.0,9.0,4.0,4.0,7.0
A99175271,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99230637,5.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,9.0,8.0,4.0,7.0
A99199917,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,9.0,8.0,4.0,7.0
A99949176,3.0,6.0,6.0,4.0,10.0,6.0,5.0,3.0,9.0,6.0,4.0,3.0
A99503277,5.0,6.0,7.0,6.0,8.0,2.0,7.0,6.0,5.0,4.0,3.0,4.0
A99963271,5.0,6.0,8.0,6.0,8.0,3.0,3.0,6.0,5.0,7.0,4.0,7.0
A99024616,3.0,4.0,4.0,5.0,7.0,6.0,7.0,6.0,9.0,10.0,4.0,7.0
A99420529,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,7.0,4.0,7.0
A99267806,5.0,5.0,6.0,6.0,10.0,6.0,10.0,6.0,5.0,8.0,4.0,4.0
A99587120,5.0,6.0,8.0,6.0,8.0,6.0,10.0,6.0,9.0,7.0,4.0,7.0
A99812905,2.0,6.0,8.0,2.0,10.0,4.0,4.0,4.0,1.0,7.0,4.0,6.0
A99717448,5.0,6.0,7.0,6.0,10.0,6.0,10.0,5.0,5.0,10.0,4.0,6.0
A99567827,5.0,5.0,5.0,6.0,10.0,6.0,7.0,6.0,6.0,10.0,4.0,7.0
A99033808,5.0,6.0,4.0,6.0,8.0,4.0,8.0,5.0,9.0,10.0,4.0,7.0
A99776300,5.0,6.0,8.0,5.0,10.0,6.0,9.0,6.0,8.0,5.0,3.0,7.0
A99554279,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,8.0,4.0,7.0
A99336438,4.0,3.0,8.0,2.0,3.0,2.0,4.0,4.0,9.0,10.0,4.0,3.0
A99392943,3.0,5.0,1.0,2.0,3.0,6.0,2.0,6.0,5.0,10.0,4.0,6.0
A99631742,3.0,3.0,8.0,4.0,9.0,5.0,5.0,3.0,8.0,10.0,3.0,4.0
A99670181,4.0,6.0,3.0,4.0,3.0,3.0,7.0,2.0,4.0,9.0,2.0,5.0
A99722705,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99542346,2.0,2.0,3.0,3.0,1.0,5.0,10.0,4.0,2.0,10.0,4.0,3.0
A99474493,4.0,6.0,7.0,5.0,10.0,6.0,5.0,3.0,9.0,7.0,4.0,4.0
A99800662,3.0,3.0,5.0,5.0,3.0,6.0,10.0,6.0,4.0,10.0,4.0,5.0
A99279088,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99374440,5.0,6.0,8.0,6.0,10.0,6.0,9.0,6.0,6.0,10.0,4.0,5.0
A99716620,5.0,6.0,4.0,6.0,9.0,6.0,7.0,6.0,9.0,6.0,4.0,6.0
A99714021,5.0,3.0,5.0,5.0,9.0,6.0,7.0,6.0,9.0,10.0,3.0,2.0
A99650853,5.0,6.0,8.0,6.0,8.0,6.0,8.0,6.0,9.0,7.0,4.0,7.0
A99995615,5.0,6.0,7.0,6.0,5.0,6.0,4.0,6.0,9.0,8.0,4.0,5.0
A99505828,,,,,,,,,,,,
A99213370,4.0,5.0,8.0,6.0,9.0,3.0,10.0,6.0,8.0,9.0,4.0,7.0
A99581496,3.0,3.0,5.0,5.0,3.0,6.0,10.0,6.0,3.0,10.0,4.0,4.0
A99142344,4.0,6.0,5.0,5.0,6.0,6.0,10.0,6.0,9.0,8.0,4.0,5.0
A99227120,5.0,2.0,6.0,4.0,2.0,2.0,10.0,6.0,9.0,10.0,3.0,3.0
A99569411,,,,,,,,,,,,
A99290566,5.0,6.0,5.0,6.0,6.0,6.0,10.0,5.0,3.0,5.0,4.0,6.0
A99266984,5.0,6.0,7.0,6.0,5.0,6.0,4.0,6.0,9.0,8.0,4.0,5.0
A99423992,5.0,6.0,4.0,6.0,9.0,5.0,10.0,4.0,7.0,5.0,4.0,6.0
A99703768,5.0,6.0,6.0,4.0,3.0,6.0,7.0,6.0,9.0,8.0,4.0,4.0
A99191889,2.0,5.0,7.0,5.0,10.0,6.0,5.0,4.0,5.0,8.0,2.0,3.0
A99161676,1.0,5.0,6.0,4.0,6.0,5.0,0.0,0.0,8.0,6.0,2.0,5.0
A99668653,5.0,6.0,8.0,6.0,10.0,3.0,9.0,6.0,3.0,9.0,2.0,5.0
A99100495,3.0,6.0,8.0,2.0,10.0,6.0,4.0,4.0,9.0,4.0,3.0,5.0
A99604870,1.0,6.0,7.0,6.0,10.0,6.0,7.0,4.0,8.0,3.0,4.0,7.0
A99591330,5.0,5.0,6.0,5.0,8.0,6.0,10.0,6.0,9.0,8.0,4.0,7.0
A99285068,5.0,1.0,6.0,4.0,1.0,1.0,9.0,6.0,9.0,9.0,2.0,2.0
A99985911,5.0,6.0,4.0,5.0,10.0,6.0,7.0,6.0,8.0,6.0,4.0,7.0
A99292519,5.0,6.0,4.0,4.0,6.0,5.0,9.0,2.0,9.0,7.0,2.0,0.0
A99323314,5.0,6.0,6.0,6.0,8.0,6.0,10.0,5.0,9.0,5.0,4.0,6.0
A99856997,5.0,6.0,4.0,5.0,9.0,6.0,8.0,6.0,9.0,4.0,4.0,7.0
A99625305,5.0,6.0,8.0,5.0,7.0,4.0,10.0,6.0,7.0,9.0,4.0,5.0
A99747684,5.0,6.0,8.0,6.0,10.0,6.0,7.0,6.0,7.0,10.0,4.0,5.0
A99919922,4.0,6.0,8.0,6.0,10.0,6.0,6.0,5.0,7.0,10.0,4.0,3.0
A99139693,2.0,5.0,8.0,2.0,10.0,6.0,4.0,4.0,9.0,4.0,3.0,4.0
A99260191,3.0,5.0,8.0,6.0,6.0,1.0,9.0,4.0,2.0,10.0,4.0,6.0
A99436409,3.0,6.0,8.0,5.0,10.0,6.0,8.0,4.0,3.0,10.0,3.0,7.0
A99926792,5.0,6.0,8.0,6.0,10.0,4.0,6.0,6.0,5.0,10.0,3.0,3.0
A99962240,5.0,6.0,8.0,6.0,10.0,5.0,8.0,6.0,6.0,10.0,4.0,4.0
A99787420,5.0,4.0,8.0,5.0,8.0,4.0,7.0,5.0,9.0,5.0,4.0,7.0
A99674390,3.0,5.0,4.0,6.0,10.0,4.0,5.0,6.0,9.0,9.0,4.0,7.0
A99699554,5.0,5.0,8.0,5.0,6.0,6.0,7.0,6.0,4.0,10.0,4.0,5.0
A99989846,5.0,5.0,6.0,6.0,3.0,6.0,10.0,6.0,6.0,9.0,4.0,7.0
A99918730,1.0,5.0,8.0,6.0,9.0,6.0,10.0,6.0,8.0,3.0,4.0,7.0
A99515080,2.0,6.0,6.0,4.0,10.0,5.0,4.0,2.0,9.0,5.0,3.0,2.0
A99917465,5.0,5.0,8.0,4.0,7.0,6.0,3.0,6.0,9.0,4.0,4.0,7.0
A99733996,4.0,4.0,6.0,6.0,4.0,6.0,10.0,6.0,5.0,10.0,4.0,5.0
A99005516,5.0,6.0,6.0,6.0,6.0,6.0,10.0,5.0,7.0,10.0,4.0,7.0
A99589063,4.0,6.0,8.0,4.0,6.0,3.0,9.0,5.0,6.0,8.0,4.0,4.0
A99973753,5.0,4.0,6.0,6.0,7.0,6.0,7.0,6.0,4.0,10.0,4.0,7.0
A99409352,5.0,4.0,5.0,6.0,10.0,5.0,10.0,6.0,3.0,7.0,4.0,3.0
A99765225,5.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,9.0,9.0,4.0,5.0
A99437369,5.0,6.0,4.0,6.0,8.0,4.0,10.0,4.0,3.0,10.0,4.0,7.0
A99601330,5.0,6.0,8.0,6.0,9.0,6.0,9.0,6.0,7.0,10.0,4.0,7.0
A99319569,5.0,3.0,5.0,4.0,10.0,6.0,5.0,6.0,8.0,10.0,4.0,7.0
A99745325,5.0,6.0,8.0,6.0,5.0,6.0,10.0,6.0,5.0,7.0,4.0,7.0
A99139365,4.0,5.0,3.0,6.0,3.0,5.0,10.0,6.0,8.0,10.0,4.0,6.0
A99220904,5.0,6.0,8.0,6.0,6.0,3.0,9.0,6.0,9.0,5.0,4.0,5.0
A99276731,5.0,6.0,8.0,6.0,6.0,6.0,4.0,6.0,9.0,10.0,4.0,7.0
A99744857,3.0,3.0,8.0,5.0,4.0,4.0,10.0,2.0,2.0,5.0,3.0,5.0
A99933171,5.0,6.0,8.0,6.0,8.0,6.0,10.0,6.0,6.0,9.0,4.0,7.0
A99571242,3.0,6.0,5.0,4.0,4.0,3.0,5.0,6.0,3.0,10.0,4.0,7.0
A99091618,5.0,5.0,8.0,6.0,3.0,5.0,10.0,6.0,1.0,3.0,1.0,7.0
A99044599,3.0,6.0,8.0,3.0,10.0,5.0,5.0,5.0,2.0,8.0,4.0,7.0
A99614172,5.0,6.0,3.0,6.0,7.0,5.0,6.0,5.0,8.0,8.0,4.0,6.0
A99164028,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99263647,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99058806,5.0,6.0,8.0,6.0,9.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99477753,5.0,2.0,8.0,6.0,10.0,3.0,10.0,3.0,9.0,10.0,4.0,7.0
A99840527,5.0,4.0,4.0,5.0,8.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99950620,3.0,4.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,4.0,5.0
A99123546,2.0,4.0,2.0,5.0,5.0,5.0,7.0,5.0,9.0,7.0,0.0,5.0
A99093358,5.0,6.0,6.0,6.0,10.0,6.0,10.0,6.0,9.0,9.0,4.0,7.0
A99661343,5.0,5.0,8.0,6.0,8.0,4.0,9.0,5.0,7.0,4.0,4.0,4.0
A99001164,4.0,6.0,6.0,1.0,10.0,5.0,8.0,2.0,3.0,1.0,1.0,5.0
A99448467,5.0,3.0,7.0,6.0,9.0,6.0,7.0,6.0,9.0,8.0,4.0,4.0
A99644077,5.0,6.0,8.0,6.0,10.0,5.0,5.0,6.0,6.0,8.0,4.0,7.0
A99873132,5.0,6.0,7.0,6.0,5.0,4.0,10.0,4.0,9.0,3.0,4.0,7.0
A99514650,3.0,6.0,8.0,5.0,4.0,5.0,10.0,2.0,6.0,10.0,2.0,5.0
A99322859,5.0,5.0,8.0,6.0,10.0,6.0,8.0,6.0,9.0,9.0,4.0,5.0
A99307531,5.0,6.0,6.0,6.0,8.0,6.0,10.0,5.0,9.0,4.0,4.0,7.0
A99856175,3.0,6.0,7.0,6.0,10.0,2.0,7.0,6.0,2.0,10.0,2.0,6.0
A99449376,5.0,6.0,8.0,6.0,10.0,6.0,9.0,6.0,8.0,10.0,4.0,5.0
A99339719,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99699336,5.0,6.0,6.0,6.0,9.0,6.0,10.0,3.0,9.0,10.0,3.0,3.0
A99550295,4.0,6.0,8.0,6.0,9.0,3.0,7.0,6.0,9.0,5.0,4.0,4.0
A99156002,5.0,6.0,8.0,6.0,10.0,6.0,9.0,5.0,8.0,10.0,4.0,7.0
A99221018,5.0,6.0,4.0,5.0,7.0,3.0,7.0,5.0,9.0,10.0,4.0,7.0
A99190272,5.0,6.0,8.0,6.0,9.0,6.0,5.0,6.0,9.0,10.0,4.0,6.0
A99330622,5.0,6.0,8.0,6.0,9.0,6.0,8.0,6.0,6.0,10.0,4.0,4.0
A99152694,3.0,3.0,5.0,6.0,7.0,5.0,9.0,6.0,7.0,10.0,3.0,7.0
A99174029,5.0,3.0,5.0,6.0,6.0,1.0,8.0,5.0,7.0,5.0,4.0,1.0
A99043621,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
